fullVisitorId,visitNumber,medium_cleaned,transactions,revenue_usd
4805174921230114482,1,Direct,,
2351023648042503697,14,Direct,,
274075099018939329,12,cpm,,
5794696964741792520,2,Direct,,
6471760085377232872,1,Direct,,
6631829678462267283,2,referral,,
442626002257975156,1,Direct,,
5574858165952837039,2,Direct,,
7995479988486469781,3,Direct,,
9559481485386018063,1,Direct,,
6110067315175335950,3,Direct,,
1984093554856829850,1,Direct,,
353605064179842984,1,Direct,,
0215646197549243825,1,Direct,,
731636801940259404,1,Direct,,
5812916905169689054,2,Direct,,
4822396540839476607,25,Direct,,
4822396540839476607,26,Direct,,
0797482112122339079,1,Direct,,
7943427938980878998,1,Direct,,
3489188981722248678,1,Direct,,
7459874293732523340,2,referral,,
3336590058734214471,5,Direct,,
2732756210608569078,4,Direct,,
4444824168404249558,1,Direct,,
1780467127097612427,1,Direct,,
5497850930167908972,1,Direct,,
4550921038981306612,1,Direct,,
9066071837951179799,1,Direct,,
1891089541104828916,4,Direct,,
0254456217403021852,1,Direct,,
803029505675105264,1,Direct,,
74137549638003684,1,Direct,,
1339977836622036768,1,Direct,,
4072099195920364015,34,Direct,,
8937317426254046278,1,Direct,,
0693175574837320264,2,Direct,,
0593575307503571337,3,Direct,,
6186890643185956641,1,Direct,,
9848055986833430236,1,Direct,,
140131453298356490,1,Direct,,
2847559963518409980,1,Direct,,
8630792108917699989,1,Direct,,
7355425364245237444,1,Direct,,
4221656513074272319,1,Direct,,
5718475538181507418,1,Direct,,
9329502941902280735,1,Direct,,
4474304184736624357,1,Direct,,
5445966263568095857,1,Direct,,
0860933914756004264,1,Direct,,
2889851001062141289,2,Direct,,
1302187285447042729,1,Direct,,
9294007092237399253,1,Direct,,
4297122492282564850,1,Direct,,
8591415825796445560,1,Direct,,
8013574511267345579,1,Direct,,
0953548687128276652,1,Direct,,
196712090913343742,1,Direct,,
6138594492106686200,1,Direct,,
0275688071567098438,1,Direct,,
173650954955822662,34,Direct,,
8028984355082253049,1,organic,,
3483773974375525919,1,Direct,,
3161350580265243053,1,referral,,
6225688443019431801,1,Direct,,
6118869432149332008,1,Direct,,
449804720275604751,1,Direct,,
4008920777542735876,2,Direct,,
406134687450856715,1,Direct,,
1914312836020339232,1,Direct,,
8742249917008311096,1,organic,,
6653994738016283744,1,Direct,,
7268053050622773221,1,Direct,,
2940358670454457843,1,Direct,,
364199015379915782,2,Direct,,
7515268702343003042,1,Direct,,
0770643583706061159,1,Direct,,
2732756210608569078,3,Direct,,
1851976761228557393,1,Direct,,
1891089541104828916,2,referral,,
6959584367763499325,1,Direct,,
8343953814881429312,1,Direct,,
8178234238958080922,1,Direct,,
2145885650087921403,1,Direct,,
5381151817201745549,1,Direct,,
0369670685033340491,1,Direct,,
5971571066778376029,1,Direct,,
9754449232533665347,1,Direct,,
7972151447295748532,1,Direct,,
4193261651500420502,1,Direct,,
9902036897497644488,1,referral,,
8774261106790115967,1,Direct,,
0934132617320262736,3,Direct,,
2461298449482859735,1,Direct,,
0750077962632233886,1,Direct,,
5538117701275508424,1,Direct,,
0737068261320374890,1,Direct,,
2182083964095552794,1,Direct,,
5373137775260049436,1,Direct,,
3136493030962486308,1,Direct,,
2702985442149060118,1,Direct,,
678393868593197431,1,Direct,,
8053038839446139761,1,Direct,,
9254003494049388779,1,Direct,,
2766270105051120206,1,Direct,,
0148469901383301510,1,Direct,,
7684813560967321161,1,Direct,,
1084268349034307315,1,Direct,,
6740652605235434056,1,organic,,
6660512627262015834,1,Direct,,
1835021140243004522,1,Direct,,
1084752910346755677,1,Direct,,
3106261862262802407,1,Direct,,
9637807186233724,1,Direct,,
2473242962742078610,1,Direct,,
0340071922916480436,1,Direct,,
8635178275473113457,1,Direct,,
6191098009091044394,1,Direct,,
06947330944845852,1,Direct,,
9882321924163057594,1,Direct,,
6028685042488839421,1,referral,,
0980792183341355115,2,Direct,,
4390742512739746864,1,Direct,,
6408100613471674863,1,Direct,,
8361024267168013455,1,Direct,,
3512342287598747720,1,Direct,,
4115356432915194391,1,Direct,,
6833630001986447069,1,Direct,,
9448007594227156108,1,Direct,,
6127849149200604241,1,Direct,,
9621622720764337033,14,Direct,,
0824839726118485274,325,Direct,,
7434518268690454561,22,Direct,,
0465528391522946677,1,referral,,
5963276739221419737,1,Direct,,
9317385622059656333,2,Direct,,
9485941500854488556,1,Direct,,
128962863476577361,1,Direct,,
5796952567540378568,1,Direct,,
0063413662315425136,1,Direct,,
2361667915097720768,1,Direct,,
9635277655295167501,1,Direct,,
4342935103494091162,1,Direct,,
4386311196483932370,1,Direct,,
4241919015903648546,1,Direct,,
2759235303478464244,1,Direct,,
5995921652451379147,1,Direct,,
6489602222802081916,2,Direct,,
5645480727857052050,1,Direct,,
8973160391232395807,1,Direct,,
7158977594102520530,1,Direct,,
6118869432149332008,2,Direct,,
2569138624442994681,64,Direct,,
4522351078177942268,2,Direct,,
8179106369406927077,3,Direct,,
2246042322588375336,1,Direct,,
0418328923781815927,1,Direct,,
0997747109171995503,1,organic,,
7362990223556091365,1,Direct,,
2184777468968692249,1,Direct,,
3948350237405939797,1,Direct,,
6285660563762949804,1,Direct,,
1880301411969373507,1,Direct,,
1552495193441898976,1,Direct,,
4691759517253488510,1,Direct,,
8308518187009697715,1,organic,,
2295776965237653860,1,Direct,,
0138619143675960126,1,Direct,,
8619651115196258124,1,Direct,,
0130140223385351712,1,Direct,,
2884634358640137579,1,Direct,,
7494710010240899602,2,Direct,,
6271987402029421459,1,Direct,,
7470321399126426651,1,Direct,,
6860824803475292917,1,Direct,,
6775359567160240215,1,Direct,,
1582708384204255188,1,Direct,,
592676650600902792,1,Direct,,
1544996101284738823,2,Direct,,
9219816294861908079,1,Direct,,
2298322679278901748,1,Direct,,
0058396599160389428,1,Direct,,
0970995876934454299,2,Direct,,
4654255080422185546,1,Direct,,
5977688749631814883,1,Direct,,
7600963081262357527,1,Direct,,
4008920777542735876,1,Direct,,
6727586030911102801,1,Direct,,
6564971139797472653,1,Direct,,
8884687069067148735,1,Direct,,
0703746295697661173,1,Direct,,
8935522914436905581,1,Direct,,
9240951270282560301,1,Direct,,
5104796250644334840,1,Direct,,
5074261753328613023,1,Direct,,
5918052359068786493,1,Direct,,
6337239976662990657,1,Direct,,
4514415751124606441,1,Direct,,
1552313632847920112,1,Direct,,
1939694044558169173,1,Direct,,
548849288394722212,1,Direct,,
278097780572539628,1,Direct,,
0346603715705266824,1,Direct,,
8879922270812509229,1,Direct,,
5518080595928878464,1,Direct,,
2135411601023014874,1,Direct,,
2619986894473351772,1,Direct,,
2231810642279478152,8,Direct,,
9896060126827367942,1,Direct,,
168810532758000602,1,Direct,,
3421905118432158167,1,Direct,,
4572226385924366918,4,Direct,,
9227372523661411642,1,Direct,,
1941621913016962514,1,Direct,,
8748996861467892145,2,Direct,,
7487698900140522959,1,Direct,,
2720587967340343186,1,Direct,,
9029315675360916293,2,Direct,,
850297961947879420,11,Direct,,
4979319148849212004,1,Direct,,
4142558181505475159,1,Direct,,
2932799759781022434,1,Direct,,
4445396183579914558,1,Direct,,
3262237184266500446,1,Direct,,
1526354141385324160,1,Direct,,
3466120119161055775,1,Direct,,
0781892756831875864,1,Direct,,
4965985358570748845,1,Direct,,
9010386975489890046,1,Direct,,
6783138086777307873,46,Direct,,
3016596666449050712,1,Direct,,
5272783591452053259,1,Direct,,
1124868725997490125,1,Direct,,
6336850751207592723,1,Direct,,
3183102601203497805,1,Direct,,
7967395856814270149,1,Direct,,
8769559706443030556,1,Direct,,
1916479165913568238,1,Direct,,
0515922203741613729,1,Direct,,
4127482328606882888,1,Direct,,
5479879197835609195,1,Direct,,
2301544570251316678,1,Direct,,
86783707576853457,1,Direct,,
9590404369186019270,3,Direct,,
7584249785851967897,1,Direct,,
2158999855967248936,1,Direct,,
4638957125106795329,1,Direct,,
1359511832313057483,1,Direct,,
4584726487918495727,2,Direct,,
7660377708313228942,22,Direct,,
3279492868256595110,1,Direct,,
9109892847427647726,1,Direct,,
9483969104735682571,1,Direct,,
8201625452721220951,1,Direct,,
2409708169751244669,1,Direct,,
2918195650452091786,1,Direct,,
6253903888497611905,1,Direct,,
8845026906387497986,1,Direct,,
8000287073660604067,1,Direct,,
7836354881414213388,1,Direct,,
4796192600520547656,1,Direct,,
6186423083908645328,17,Direct,,
0693175574837320264,1,Direct,,
901950451635418079,1,Direct,,
0191440409289870284,1,Direct,,
344619167755605434,3,Direct,,
1420809397402528128,1,Direct,,
5515275997047737229,1,Direct,,
6131742386379577456,1,referral,,
0571880496010245182,1,Direct,,
5464382594149197329,1,Direct,,
6034436143673736921,1,Direct,,
7797476620506903894,1,Direct,,
703732439998225708,1,Direct,,
4430041404796268441,1,Direct,,
8960223849941481417,1,Direct,,
945523882802559215,1,Direct,,
4941785301452422713,1,Direct,,
0517790190865385214,1,Direct,,
2088576431858449665,1,organic,,
4451539898468438242,1,Direct,,
8343953814881429312,2,Direct,,
8362323592003991878,1,Direct,,
9711651959901684428,1,Direct,,
6463881263399050707,1,Direct,,
1697955462672124558,1,Direct,,
0869308171096061673,1,Direct,,
4824249527904808294,1,Direct,,
5506476204864854058,1,Direct,,
715699006447050894,1,Direct,,
1484634566762687309,1,Direct,,
9182949309366488519,1,Direct,,
8093798900010091210,1,Direct,,
3869717862707732787,1,Direct,,
4032355622184703379,1,Direct,,
6136656531421898464,2,Direct,,
7315445950596096274,1,organic,,
9327309284406973167,2,Direct,,
5770975799385983170,1,Direct,,
7565839018638585845,1,Direct,,
4138175376242835506,1,Direct,,
9149931841019642597,3,Direct,,
3123752895886780108,1,Direct,,
888613363143923006,6,Direct,,
7236871688706312804,1,Direct,,
6603408297666865508,1,Direct,,
2586826338805053112,1,Direct,,
6267087540411822054,2,Direct,,
4832148599466427820,1,Direct,,
2033212092201893884,1,Direct,,
3910366470555688163,5,Direct,,
7733427213456779478,1,Direct,,
722435579483202238,1,Direct,,
5086583524819266202,1,Direct,,
5521020560967391878,1,Direct,,
0903916456353609153,1,Direct,,
519744367555774060,1,Direct,,
9390637020838226530,1,Direct,,
7665413888912571356,1,Direct,,
266425910606638661,1,Direct,,
977746482016846063,1,Direct,,
8971101956678031982,1,Direct,,
6568058342681358420,1,Direct,,
1685576825417500331,1,Direct,,
5180878261329136057,2,Direct,,
606066778681594616,1,Direct,,
7877986681209014871,1,Direct,,
1434632826187314735,2,Direct,,
2231810642279478152,7,Direct,,
6341428490514962420,1,Direct,,
5843772291619866504,2,Direct,,
2328478998081815008,1,Direct,,
8269804184882170738,4,Direct,,
4970018050534286254,1,referral,,
6300642034938734240,1,referral,,
5199417177366758099,1,referral,,
2873997888808784270,1,referral,,
6875669061892307057,1,referral,,
5908398654786771020,1,referral,,
031512537467001791,3,referral,,
6624778975710328562,1,referral,,
6449473464768936225,1,referral,,
1062193108249879224,2,Direct,,
4910199185612348092,4,Direct,,
4449100185791123350,4,Direct,,
7934884780104500365,1,Direct,,
8784667833067011048,1,Direct,,
2996076341768802870,1,Direct,,
9190395758634008040,1,Direct,,
8732126941103230135,1,Direct,,
6961360482623502802,5,Direct,,
8835359329949477694,1,Direct,,
1807726882422977628,1,Direct,,
7934884780104500365,2,Direct,,
4423033973708273919,1,Direct,,
519331285379768552,1,Direct,,
6615390143881304290,1,Direct,,
1836491043793891986,1,Direct,,
1235636624286897179,1,Direct,,
7975538693916774390,3,Direct,,
1770321874825815130,2,Direct,,
3386971884403473366,6,Direct,,
2564694862216261167,2,Direct,,
0398892920025806884,1,referral,,
0408029277678876081,7,Direct,,
5215763441536460050,10,Direct,,
7868347671822888591,9,Direct,,
8047794745881433784,9,Direct,,
2825728981414557980,1,referral,,
1615451564152504100,1,referral,,
489929455185118055,8,Direct,,
5725246229548257227,4,Direct,,
1544997501383683923,1,Direct,,
8976566381269660728,2,Direct,,
8937559197956023077,1,Direct,,
5725246229548257227,3,Direct,,
8998033446422047663,1,Direct,,
7855520906498401439,2,Direct,,
3511832578800087082,5,Direct,,
8513233545540575356,5,Direct,,
1469963984796780025,5,Direct,,
643087422889751271,11,referral,,
6221200804038661243,2,Direct,,
1973621965244909199,1,Direct,,
1582138538948624930,1,Direct,,
4359294620454711905,8,Direct,,
9433977217811315392,1,Direct,,
0036194035121102485,2,Direct,,
9753333363753095716,1,Direct,,
668678215630121085,2,referral,,
8947946498901524856,4,Direct,,
4014327683863562481,1,Direct,,
100547736800285780,8,Direct,,
1092875707001800914,3,Direct,,
7427501171469142689,1,Direct,,
6558432004095303802,2,Direct,,
7645171663287545102,1,Direct,,
3666048679932133341,3,Direct,,
8892930031273710448,1,referral,,
5293760170558078573,1,referral,,
8856689104238471190,1,Direct,,
0248173223326049233,1,referral,,
2174779494649936902,1,referral,,
5788489501142344608,1,referral,,
4493977076522246610,2,referral,,
2408604451095576807,2,Direct,,
128753885844031222,1,referral,,
5165671213435354675,2,Direct,,
5165671213435354675,1,Direct,,
6792441624797540354,1,referral,,
5006129152154625757,1,Direct,,
9348422734394164407,2,referral,,
6647568097119089528,1,Direct,,
0638029942977085335,1,referral,,
2910756543717796689,1,referral,,
1782763969733896144,2,referral,,
16954351697590464,1,referral,,
1432435196784702415,1,referral,,
3937678802673335790,1,referral,,
5673305541502631736,1,referral,,
6055615181184295637,1,referral,,
8676923166152194275,1,referral,,
9881254336478429045,1,referral,,
9523794355359099490,1,referral,,
9471266678924825447,1,referral,,
4133622397057307720,1,referral,,
4194391827790391418,1,referral,,
2503148534490677231,1,referral,,
9267290955695009807,1,referral,,
0969314094753459734,1,referral,,
8949387259332244659,1,referral,,
2547701700418807747,1,referral,,
4005878949503135559,1,referral,,
5691046516782140385,1,referral,,
1651588377883332235,1,referral,,
0636961252111590632,1,referral,,
5768229132555433238,1,referral,,
1073309495914656929,1,referral,,
1339925522064704450,1,referral,,
9713271530565542408,1,referral,,
6552300315968629606,1,referral,,
6217855836147918467,1,referral,,
001619121826545149,1,referral,,
2855049552982296172,1,referral,,
1315437374372261489,1,referral,,
8915546013770906767,1,referral,,
4227656512670151135,1,referral,,
229439762413481513,1,referral,,
0324260691225026240,1,referral,,
789490400754305516,1,referral,,
66739668383858497,1,referral,,
2157882589839098639,1,referral,,
7013208627865000408,1,referral,,
8558361866751600865,1,referral,,
7856679340553469948,1,referral,,
4892667361104761147,1,referral,,
9930436713427869279,1,referral,,
0200717307913073435,1,referral,,
2473242962742078610,2,referral,,
8390208994848740537,1,referral,,
9994649138797395009,1,referral,,
7995684191193122685,1,referral,,
3044312114998023426,1,referral,,
0349094036597490592,1,referral,,
1712321891950108138,1,referral,,
2743244038526063323,1,referral,,
274447963184509841,1,referral,,
6577450472486200808,1,referral,,
746353138905275473,1,referral,,
1540351147736007252,1,referral,,
8597598601652236641,1,referral,,
8261785546791235768,1,referral,,
890108071659806931,1,referral,,
208095750290631840,1,referral,,
3963542418203080907,1,referral,,
6408431078705025929,1,referral,,
6888817652472861197,1,referral,,
0978621775610731728,1,referral,,
578041353535292514,1,referral,,
0433337538235893757,1,referral,,
9338698197175107094,1,referral,,
2447213474556612754,1,referral,,
8699185893615675090,1,referral,,
8063201402052610163,1,referral,,
9950400558640256314,1,referral,,
579844006831462672,1,referral,,
3448777059587537764,1,referral,,
0166876078357314367,1,referral,,
705403694662633479,1,referral,,
4241220182846651066,1,referral,,
9929037522613071349,1,referral,,
1605451272270992790,1,referral,,
2294333854480671015,1,referral,,
8867301569869864670,1,referral,,
2352482068453803616,1,referral,,
6734442809303465753,1,referral,,
7260132073757680862,1,referral,,
7353923786818468991,1,referral,,
3172756586627852069,1,referral,,
8020882634315652622,1,referral,,
8095037153251405756,1,referral,,
2468341662488265636,1,referral,,
9561316046334540671,1,referral,,
2064120939077920684,1,referral,,
8381118022765429879,1,referral,,
5440389010284125472,1,referral,,
2831593998537426669,1,referral,,
4871517704397164998,1,referral,,
9636509307749526464,1,referral,,
9186387318231367177,1,referral,,
6015006776977529193,1,referral,,
7864990176972924681,1,referral,,
9251556730072781231,1,referral,,
3913396867277932801,1,referral,,
2084347107293061289,1,referral,,
6097397221157988507,1,referral,,
2939726212256623171,1,referral,,
4128612536456606163,1,referral,,
6649857365045015874,1,referral,,
5136860858057324474,1,referral,,
2567005657809555166,1,referral,,
2062115388054604941,1,referral,,
4132918650660730702,1,referral,,
6545659664663790165,1,referral,,
5950526847672997860,1,referral,,
4726621153782683104,1,referral,,
2414394050775230834,1,referral,,
0789655749888442787,1,referral,,
1220137153362345119,1,referral,,
1998594181738002095,1,referral,,
4612890826705857570,1,referral,,
977398588368142696,1,referral,,
176132922371160921,1,referral,,
2818808430024625212,1,referral,,
6828165493283549656,1,referral,,
2590349987117217112,1,referral,,
2996930423395557723,1,referral,,
